"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"HDB","HDFC Bank Ltd ADRs","Financials","US Equity","ADRs","Large cap","$116,435,826,000","1,669,411","Analyze"
"USB","US Bancorp","Financials","US Equity","Common stocks","Large cap","$59,004,121,200","6,370,214","Analyze"
"TFC","Truist Financial Corporation","Financials","US Equity","Common stocks","Large cap","$57,955,678,800","5,176,783","Analyze"
"PNC","PNC Financial Services Group, Inc.","Financials","US Equity","Common stocks","Large cap","$48,590,030,680","2,112,892","Analyze"
"IBN","ICICI Bank Ltd ADRs","Financials","US Equity","ADRs","Large cap","$41,833,276,850","6,629,388","Analyze"
"LYG","Lloyds Banking Group PLC ADRs","Financials","US Equity","ADRs","Large cap","$24,596,238,401","6,099,653","Analyze"
"ITUB","Itau Unibanco Holding SA ADRs of Preferred Shares","Financials","US Equity","ADRs","Large cap","$22,771,773,138","31,475,836","Analyze"
"BSBR","Banco Santander Brasil ADRs","Financials","US Equity","ADRs","Large cap","$22,495,183,040","1,222,371","Analyze"
"FRC","First Republic Bank","Financials","US Equity","Common stocks","Large cap","$22,335,752,860","875,465","Analyze"
"DB","Deutsche Bank AG","Financials","US Equity","Common stocks","Large cap","$20,954,370,500","4,131,887","Analyze"
"BBD","Banco Bradesco SA ADRs","Financials","US Equity","ADRs","Large cap","$17,146,075,372","25,577,564","Analyze"
"FITB","Fifth Third Bancorp","Financials","US Equity","Common stocks","Large cap","$16,533,132,880","5,365,397","Analyze"
"SIVB","SVB Financial Group","Financials","US Equity","Common stocks","Large cap","$16,228,805,560","353,076","Analyze"
"BBDO","Banco Bradesco SA ADRs","Financials","US Equity","ADRs","Large cap","$15,497,309,594","14,396","Analyze"
"KB","KB Financial Group Inc ADRs","Financials","US Equity","ADRs","Large cap","$14,926,894,439","101,259","Analyze"
"SHG","Shinhan Financial Group Co Ltd ADRs","Financials","US Equity","ADRs","Large cap","$14,633,098,686","100,862","Analyze"
"MTB","M&T Bank Corp","Financials","US Equity","Common stocks","Large cap","$12,710,487,561","977,641","Analyze"
"RF","Regions Financial Corp","Financials","US Equity","Common stocks","Large cap","$12,528,000,000","9,053,506","Analyze"
"KEY","Keycorp","Financials","US Equity","Common stocks","Large cap","$12,518,383,860","8,211,384","Analyze"
"CFG","Citizens Financial Group Inc","Financials","US Equity","Common stocks","Large cap","$11,834,192,830","5,073,481","Analyze"
"HBAN","Huntington Bancshares Inc","Financials","US Equity","Common stocks","Large cap","$10,325,696,500","8,104,609","Analyze"
"BAP","Credicorp Ltd","Financials","US Equity","Common stocks","Mid cap","$9,471,678,125","433,913","Analyze"
"BCH","Banco de Chile ADRs","Financials","US Equity","ADRs","Mid cap","$8,808,682,400","124,308","Analyze"
"BSAC","Banco Santander Chile ADRs","Financials","US Equity","ADRs","Mid cap","$7,486,017,350","760,955","Analyze"
